validated,Title,Composer,Difficulty,Reading,Max Position,Era,status,source,pdf_path,token_path,gp_path,scorehash,xml_path,file_path,barre_ratio,avg_chord_stretch,max_chord_stretch,avg_position_shift,fret_change_rate,arpeggio_density,avg_string_jump,max_string_jump,special_technique_ratio,avg_polyphony,total_notes,tempo_bpm,log_total_notes,avg_fret,p90_fret,high_position_ratio,open_string_ratio,p90_chord_stretch,chord_ratio,avg_string_span,unique_shape_rate,shift_rate,max_position_shift,std_position_shift,fret_entropy,string_entropy,repetition_ratio,max_avg_chord_stretch_window,p95_position_shift_window,max_note_density_window,avg_stretch_velocity_beats,p90_stretch_velocity_beats,avg_position_shift_speed_beats,max_position_shift_speed_beats,polyphonic_arpeggio_intensity_beats,has_rhythm
1,"""Hika"" in Memoriam Toru Takemitsu",Leo Brouwer,13,9,X,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/In Memoriam Toru Takemitsu by Leo Brouwer.pdf,,,,verified_pieces/pdf/xml/In Memoriam Toru Takemitsu by Leo Brouwer.musicxml,,0.0011389521640091116,0.9716312056737588,3,3.0087419232231096,0.603988603988604,0.597684515195369,0.9703534777651083,5,0.0,1.2004555808656037,1054,120.0,6.961296045910167,4.434535104364326,9.0,0.2969639468690702,0.3111954459203036,3.0,0.16059225512528474,2.3120567375886525,0.2765957446808511,0.4583808437856328,12.0,3.0196004789943047,3.0517625914942395,2.426288218214272,0.043329532497149374,,,,,,,,,False
1,24 Piezas Sudamericanas: 1. Cueca Chilena,Jorge Cardoso,9,6,XII,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Cueca Chilena by Jorge Cardoso.pdf,,,,verified_pieces/pdf/xml/Cueca Chilena by Jorge Cardoso.musicxml,,0.002061855670103093,1.2204301075268817,20,2.3337465564738293,0.5602094240837696,0.5513513513513514,0.6714876033057852,5,0.0,1.577319587628866,765,112.0,6.641182169740591,2.6562091503267973,7.0,0.11764705882352941,0.3176470588235294,2.0,0.4041237113402062,2.816326530612245,0.49489795918367346,0.29958677685950413,22.0,3.0199719444889017,2.872922817942781,2.438344324033665,0.08057851239669421,2.272727272727273,20.7,5.8125,2.788159588159588,7.199999999999989,6.438406795224976,76.0,6.1800229681745575,True
1,24 Piezas Sudamericanas: 2. Chacarera,Jorge Cardoso,12,8,All,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Chacarera by Jorge Cardoso.pdf,,,,verified_pieces/pdf/xml/Chacarera by Jorge Cardoso.musicxml,,0.02154398563734291,1.1865284974093264,4,1.439748201438849,0.4815983175604627,0.31086142322097376,0.45143884892086333,5,0.0,1.7091561938958708,952,138.0,6.859614903654202,2.96218487394958,7.0,0.11134453781512606,0.19012605042016806,2.0,0.3500897666068223,2.6923076923076925,0.6410256410256411,0.18345323741007194,8.333333333333334,1.232386625662042,3.1284131107009707,2.448510504105957,0.14388489208633093,2.3333333333333335,5.333333333333333,5.3125,2.78125,4.0,5.01603717026379,72.0,5.213029063961134,True
1,24 Piezas Sudamericanas: 24. Milonga,Jorge Cardoso,8,5,VIII,Modern,found,dada_gp,,"datasets/DadaGP-v1.1/C/Cardoso, Jorge/Cardoso, Jorge - Milonga in d minor.gp3.tokens.txt","datasets/DadaGP-v1.1/C/Cardoso, Jorge/Cardoso, Jorge - Milonga in d minor.gp3",,"verified_pieces/dada/xml/Cardoso, Jorge - Milonga in d minor.musicxml",,0.0,0.8985507246376812,3,2.665818490245971,0.7295597484276729,0.9144981412639405,1.5826972010178118,5,0.008368200836820083,1.2131979695431472,478,56.0,6.171700597410915,3.1297071129707112,7.0,0.1694560669456067,0.27405857740585776,2.0,0.18527918781725888,1.7671232876712328,0.5342465753424658,0.3486005089058524,10.0,2.496902092777982,3.0541618462780895,2.4221608182517147,0.0,1.4285714285714286,10.0,5.125,3.246376811594203,8.0,10.434973141080011,40.0,5.38198263982946,True
1,24 Piezas Sudamericanas: 4. Vals Venezolano,Jorge Cardoso,9,5,VII,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Vals Venezolano by Jorge Cardoso.pdf,,,,verified_pieces/pdf/xml/Vals Venezolano by Jorge Cardoso.musicxml,,0.015544041450777202,1.3350515463917525,4,1.59031560743623,0.4058219178082192,0.5567010309278351,0.8443579766536965,5,0.0,1.5142487046632125,1169,120.0,7.064759027791802,3.4910179640718564,7.0,0.16595380667236956,0.14798973481608213,2.0,0.25906735751295334,2.48,0.285,0.17120622568093385,22.0,3.0844039858068206,3.217227485046919,2.3698858562484593,0.30609597924773024,2.6666666666666665,21.0,7.75,8.178756476683938,28.800000000000182,5.038694336359706,160.0,5.965144855101248,True
1,24 Piezas Sudamericanas: 8. Polo Margariteno,Jorge Cardoso,12,6,IX,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Polo Margariteno by Jorge Cardoso.pdf,,,,verified_pieces/pdf/xml/Polo Margariteno by Jorge Cardoso.musicxml,,0.0,0.75,3,2.5446236559139783,0.6902404526166902,0.8326530612244898,1.4903225806451612,5,0.0,1.1400966183574879,708,160.0,6.5638555265321274,3.1129943502824857,7.0,0.1016949152542373,0.19915254237288135,2.0,0.12560386473429952,2.9871794871794872,0.6666666666666666,0.22903225806451613,22.0,4.272272206285748,2.8442356254268844,2.546093785564722,0.04516129032258064,3.0,21.75,2.75,1.192488262910798,4.0,5.068458781362007,64.0,2.404135236923608,True
1,A Coy Toy,John Dowland,7,6,V,Renaissance,found,pdf,pdf-20260524T103936Z-3-001/pdf/dowland-coy-toy.pdf,,,,verified_pieces/pdf/xml/dowland-coy-toy.musicxml,,0.0,0.75,3,1.5163398692810457,0.5426829268292683,0.35555555555555557,0.4411764705882353,4,0.0,1.6019417475728155,165,144.0,5.111987788356544,1.9212121212121211,4.0,0.04242424242424243,0.296969696969697,2.0,0.3883495145631068,2.75,0.55,0.19607843137254902,7.0,1.336701180409786,2.5007280025608174,2.2955416858324167,0.10784313725490197,1.2142857142857142,5.5,4.0625,2.504273504273504,4.800000000000011,4.216230936819173,28.0,5.809239304384935,True
1,A Fancy,John Dowland,14,7,VII,Renaissance,found,pdf,pdf-20260524T103936Z-3-001/pdf/A Fancy by John Dowland.pdf,,,,verified_pieces/pdf/xml/A Fancy by John Dowland.musicxml,,0.001851851851851852,0.7153284671532847,4,1.7841682127396414,0.7094972067039106,0.5098684210526315,0.5844155844155844,5,0.0,1.3277777777777777,717,63.0,6.576469569048224,2.0613668061366806,5.0,0.04881450488145049,0.3068340306834031,2.0,0.26851851851851855,2.8344827586206898,0.6,0.26716141001855287,7.0,1.1616442933102424,2.4960532894865066,2.4482231787942137,0.022263450834879406,,,,,,,,,False
1,A mi madre (Sonatina),Agustin Barrios Mangore,12,8,All,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/A Mi Madre Sonatina by Agustin Barrios Mangore.pdf,,,,verified_pieces/pdf/xml/A Mi Madre Sonatina by Agustin Barrios Mangore.musicxml,,0.005752636625119847,1.3392857142857142,4,2.3355726167626356,0.5407348242811502,0.5929411764705882,0.8992322456813819,5,0.0,1.2013422818791946,1253,68.0,7.134093721192866,6.0654429369513165,12.0,0.4948124501197127,0.1779728651237031,3.0,0.11409395973154363,2.7142857142857144,0.5294117647058824,0.2869481765834933,22.0,3.5855953814090507,3.6696753521495147,2.4004351041015806,0.2562380038387716,3.0,22.0,4.5625,5.892964392964393,16.0,9.504438579654511,352.0,3.3859848259685212,True
1,Abri la Puerta mi China,Agustin Barrios Mandore,11,5,XII,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Abri La Puerta Mi China by Augustin Barrios Mangore.pdf,,,,verified_pieces/pdf/xml/Abri La Puerta Mi China by Augustin Barrios Mangore.musicxml,,0.003003003003003003,1.1072555205047319,3,0.9416040100250626,0.3067961165048544,0.2966666666666667,0.24812030075187969,4,0.0,1.548048048048048,1031,96.0,6.939253946041508,10.276430649854511,14.0,0.8981571290009699,0.01066925315227934,2.0,0.47597597597597596,1.4479495268138802,0.14195583596214512,0.14285714285714285,9.0,1.430298740287075,3.30508000918336,2.022045656849379,0.4345864661654135,2.0,6.0,7.375,7.800210304942166,16.0,5.140100250626566,96.0,8.869955054046754,True
