validated,Title,Composer,Difficulty,Reading,Max Position,Era,status,source,pdf_path,token_path,gp_path,scorehash,xml_path,file_path,barre_ratio,avg_chord_stretch,max_chord_stretch,avg_position_shift,fret_change_rate,arpeggio_density,avg_string_jump,max_string_jump,special_technique_ratio,avg_polyphony,total_notes,tempo_bpm,log_total_notes,avg_fret,p90_fret,high_position_ratio,open_string_ratio,p90_chord_stretch,chord_ratio,avg_string_span,unique_shape_rate,shift_rate,max_position_shift,std_position_shift,fret_entropy,string_entropy,repetition_ratio
1,"""Hika"" in Memoriam Toru Takemitsu",Leo Brouwer,13,9,X,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/In Memoriam Toru Takemitsu by Leo Brouwer.pdf,,,,verified_pieces/pdf/xml/In Memoriam Toru Takemitsu by Leo Brouwer.musicxml,,0.004555808656036446,0.9716312056737588,3,3.0087419232231096,0.603988603988604,0.597684515195369,0.9703534777651083,5,0.0,1.2004555808656037,1054,120.0,6.961296045910167,4.434535104364326,9.0,0.2969639468690702,0.3111954459203036,3.0,0.16059225512528474,2.3120567375886525,0.2765957446808511,0.4583808437856328,12.0,3.0196004789943047,3.0517625914942395,2.426288218214272,0.043329532497149374
1,24 Piezas Sudamericanas: 1. Cueca Chilena,Jorge Cardoso,9,6,XII,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Cueca Chilena by Jorge Cardoso.pdf,,,,verified_pieces/pdf/xml/Cueca Chilena by Jorge Cardoso.musicxml,,0.011160714285714286,1.2,20,2.526920208799403,0.6079545454545454,0.6415094339622641,0.727069351230425,5,0.0,1.5736607142857142,705,112.0,6.559615237493242,2.575886524822695,7.0,0.10921985815602837,0.3177304964539007,2.0,0.41294642857142855,2.8216216216216217,0.5243243243243243,0.3243847874720358,22.0,3.063823518363064,2.8615457253983267,2.438716102391225,0.0044742729306487695
1,24 Piezas Sudamericanas: 2. Chacarera,Jorge Cardoso,12,8,All,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Chacarera by Jorge Cardoso.pdf,,,,verified_pieces/pdf/xml/Chacarera by Jorge Cardoso.musicxml,,0.033402922755741124,1.1607142857142858,4,1.6746861924686192,0.5524728588661038,0.3878504672897196,0.5251046025104602,5,0.0,1.732776617954071,830,138.0,6.7226297948554485,3.0012048192771084,7.0,0.11325301204819277,0.19156626506024096,2.0,0.35490605427974947,2.7294117647058824,0.7352941176470589,0.21338912133891214,8.333333333333334,1.171820487864361,3.1374902844979595,2.452722778409654,0.0041841004184100415
1,24 Piezas Sudamericanas: 24. Milonga,Jorge Cardoso,8,5,VIII,Modern,found,dada_gp,,"datasets/DadaGP-v1.1/C/Cardoso, Jorge/Cardoso, Jorge - Milonga in d minor.gp3.tokens.txt","datasets/DadaGP-v1.1/C/Cardoso, Jorge/Cardoso, Jorge - Milonga in d minor.gp3",,"verified_pieces/dada/xml/Cardoso, Jorge - Milonga in d minor.musicxml",,0.0025380710659898475,0.8985507246376812,3,2.665818490245971,0.7295597484276729,0.9144981412639405,1.5826972010178118,5,0.00836820083682,1.2131979695431472,478,56.0,6.171700597410915,3.1297071129707112,7.0,0.1694560669456067,0.27405857740585776,2.0,0.18527918781725888,1.7671232876712328,0.5342465753424658,0.3486005089058524,10.0,2.496902092777982,3.0541618462780895,2.4221608182517147,0.0
1,24 Piezas Sudamericanas: 4. Vals Venezolano,Jorge Cardoso,9,5,VII,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Vals Venezolano by Jorge Cardoso.pdf,,,,verified_pieces/pdf/xml/Vals Venezolano by Jorge Cardoso.musicxml,,0.022727272727272728,1.32,4,2.147343841214244,0.5895522388059702,0.7563025210084033,1.1401050788091067,5,0.0,1.4073426573426573,805,120.0,6.692083742506628,3.5391304347826087,7.600000000000023,0.17391304347826086,0.15031055900621118,2.0,0.22377622377622378,2.34375,0.4453125,0.23117338003502627,22.0,3.4131594985992804,3.2449485710329613,2.3330764776408297,0.06304728546409807
1,24 Piezas Sudamericanas: 8. Polo Margariteno,Jorge Cardoso,12,6,IX,Modern,found,pdf,pdf-20260524T103936Z-3-001/pdf/Polo Margariteno by Jorge Cardoso.pdf,,,,verified_pieces/pdf/xml/Polo Margariteno by Jorge Cardoso.musicxml,,0.0,0.7580645161290323,3,2.660483417650365,0.7349397590361446,0.8589473684210527,1.5581787521079258,5,0.0,1.1195286195286196,665,160.0,6.501289670540389,3.1593984962406014,7.0,0.10676691729323308,0.19097744360902255,2.0,0.1111111111111111,2.909090909090909,0.7878787878787878,0.23946037099494097,22.0,4.333026234475971,2.8614458663012323,2.545617356276355,0.0016863406408094434
1,A Coy Toy,John Dowland,7,6,V,Renaissance,found,pdf,pdf-20260524T103936Z-3-001/pdf/dowland-coy-toy.pdf,,,,verified_pieces/pdf/xml/dowland-coy-toy.musicxml,,0.0,0.7272727272727273,3,1.6811594202898552,0.6180555555555556,0.38095238095238093,0.4891304347826087,4,0.0,1.5591397849462365,145,144.0,4.983606621708336,1.8482758620689654,4.0,0.034482758620689655,0.30344827586206896,2.0,0.3548387096774194,2.6666666666666665,0.6666666666666666,0.21739130434782608,7.0,1.3053337658567077,2.488816264677045,2.2987448613592045,0.010869565217391304
1,A Fancy,John Dowland,14,7,VII,Renaissance,found,pdf,pdf-20260524T103936Z-3-001/pdf/A Fancy by John Dowland.pdf,,,,verified_pieces/pdf/xml/A Fancy by John Dowland.musicxml,,0.001851851851851852,0.7153284671532847,4,1.7841682127396414,0.7094972067039106,0.5098684210526315,0.5844155844155844,5,0.0,1.3277777777777777,717,63.0,6.576469569048224,2.0613668061366806,5.0,0.04881450488145049,0.3068340306834031,2.0,0.26851851851851855,2.8344827586206898,0.6,0.26716141001855287,7.0,1.1616442933102424,2.4960532894865066,2.4482231787942137,0.022263450834879406
1,A mi madre (Sonatina),Agustin Barrios Mangore,12,8,All,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/A Mi Madre Sonatina by Agustin Barrios Mangore.pdf,,,,verified_pieces/pdf/xml/A Mi Madre Sonatina by Agustin Barrios Mangore.musicxml,,0.006289308176100629,1.3614457831325302,4,3.065071368597817,0.7148891235480465,0.7987321711568938,1.1801007556675063,5,0.0,1.1924528301886792,948,68.0,6.855408798609928,6.121308016877637,12.0,0.5073839662447257,0.16772151898734178,3.0,0.11320754716981132,2.588888888888889,0.7,0.3765743073047859,22.0,3.8257233229768373,3.656698251577839,2.3650832050903903,0.02392947103274559
1,Abri la Puerta mi China,Agustin Barrios Mandore,11,5,XII,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Abri La Puerta Mi China by Augustin Barrios Mangore.pdf,,,,verified_pieces/pdf/xml/Abri La Puerta Mi China by Augustin Barrios Mangore.musicxml,,0.004201680672268907,1.0740740740740742,3,1.3182456140350876,0.43828016643550627,0.4218009478672986,0.3473684210526316,4,0.0,1.5168067226890756,722,96.0,6.583409222158765,10.069252077562327,14.0,0.8795013850415513,0.015235457063711912,2.0,0.453781512605042,1.4351851851851851,0.20833333333333334,0.2,9.0,1.5386845480813003,3.3324651472423135,1.9710122917079655,0.20842105263157895
1,Adagio,Robert Schumann,3,2,IV,Romantic,found,dada_gp,,datasets/DadaGP-v1.1/R/Robert Schumann/Robert Schumann - Adagio.gp3.tokens.txt,datasets/DadaGP-v1.1/R/Robert Schumann/Robert Schumann - Adagio.gp3,,verified_pieces/dada/xml/Robert Schumann - Adagio.musicxml,,0.064,0.4470588235294118,4,1.4698795180722892,0.2670967741935484,0.0,0.6546184738955824,5,0.0,3.104,776,60.0,6.655440350367647,1.5618556701030928,4.0,0.0,0.34536082474226804,1.0,1.0,0.752,0.2,0.18875502008032127,5.0,1.2258313878603282,2.280978605765146,2.445618890166121,0.01606425702811245
1,Adagio from Pathetique Sonata,Ludwig van Beethoven,11,7,XII,Classical,found,gaps,,,,jc1wc,datasets/gaps_v1/readable_musicxml/Ludwig Van Beethoven - Opus 13 Sonata Pathetique.xml,,0.003105590062111801,0.9378238341968912,3,1.5623488773747842,0.5096234309623431,0.5392156862745098,0.7813471502590673,5,0.0,1.2380952380952381,1196,100.0,7.087573705557973,3.8603678929765888,9.0,0.20234113712374582,0.1588628762541806,2.0,0.1997929606625259,1.2538860103626943,0.23316062176165803,0.19689119170984457,15.0,1.9643333274102481,3.262521755623719,2.4016328406797633,0.261139896373057
1,"Adagio, Aria, and Fugue; BWV 992: iii. Fugue",J.S. Bach,13,7,IX,Baroque,found,pdf,pdf-20260524T103936Z-3-001/pdf/bach-bwv992-iii-adagissimo.pdf,,,,verified_pieces/pdf/xml/bach-bwv992-iii-adagissimo.musicxml,,0.004132231404958678,1.3,4,1.845435684647303,0.5413533834586466,0.4842105263157895,0.7136929460580913,5,0.0,1.6528925619834711,400,50.0,5.993961427306569,3.4825,7.0,0.1825,0.17,3.0,0.384297520661157,2.6989247311827955,0.8709677419354839,0.24896265560165975,10.0,1.7880255630565938,3.1273177351076407,2.483006098784097,0.07053941908713693
1,"Agitato, Op. 38 no. 7",Napoleon Coste,7,4,X,Romantic,found,pdf,pdf-20260524T103936Z-3-001/pdf/Opus 38 No 7 by Napoleon Coste.pdf,,,,verified_pieces/pdf/xml/Opus 38 No 7 by Napoleon Coste.musicxml,gaps_v1/musicxml/Opus 38 No 1 by Napoleon Coste.xml,0.0035714285714285713,0.7589285714285714,3,1.7258064516129032,0.5820568927789934,0.5795454545454546,0.6344086021505376,3,0.0,1.6357142857142857,458,120.0,6.129050210060545,2.1986899563318776,5.0,0.0611353711790393,0.3078602620087336,2.0,0.40714285714285714,2.7982456140350878,0.6491228070175439,0.22939068100358423,10.0,1.3098427650941193,2.7256207501692704,2.4704006700498122,0.021505376344086023
